day,sensor_a,sensor_b
1,20.26,17.07
2,19.54,18.55
3,20.69,19.33
4,20.88,20.01
5,19.23,20.42
6,19.7,20.74
7,20.64,20.02
8,20.45,20.06
9,20.71,21.18
10,20.29,20.34
11,21.41,19.39
12,21.43,19.37
13,21.08,19.33
14,21.8,20.21
15,21.48,19.61
16,20.76,19.7
17,21.58,18.42
18,20.86,18.48
19,22.05,18.44
20,21.57,17.28
21,21.57,17.49
22,21.35,16.22
23,22.57,16.11
24,21.83,15.8
25,21.74,14.91
26,21.87,16.07
27,22.48,15.18
28,22.46,15.51
29,22.57,15.9
30,22.66,15.96
31,23.76,16.29
32,22.32,15.89
33,22.33,15.9
34,22.23,16.49
35,23.17,15.56
36,23.56,16.14
37,22.89,16.65
38,22.54,17.33
39,22.63,18.86
40,23.59,18.21
41,23.73,19.0
42,23.69,20.68
43,23.04,19.65
44,23.66,20.76
45,23.67,19.6
46,23.81,20.29
47,24.28,19.74
48,23.97,20.2
49,24.33,21.05
50,24.04,18.84
51,24.25,20.34
52,24.54,19.91
53,23.37,18.92
54,24.13,17.87
55,24.12,18.7
56,24.1,17.8
57,24.39,18.0
58,25.54,17.42
59,24.2,18.29
60,25.38,16.45
