group,dose,temp,category,yield_pct
C,8.3,26.2,x,82.88
B,6.92,25.3,y,69.38
C,6.5,28.0,y,81.25
C,2.72,22.7,x,54.2
B,6.17,24.8,x,79.57
C,1.36,27.2,x,59.29
C,8.21,26.8,x,80.2
A,9.64,28.2,x,81.45
A,8.69,26.2,x,73.16
A,1.46,24.1,x,57.18
A,4.05,26.1,x,60.1
C,3.86,22.0,x,52.26
C,2.01,20.1,y,67.75
A,6.64,26.7,x,74.08
B,8.18,24.8,x,89.45
C,3.82,25.9,x,58.58
A,8.77,19.9,y,83.93
C,8.17,23.9,x,82.5
A,2.16,23.2,y,63.13
B,7.9,22.4,x,81.2
C,8.94,18.2,y,73.8
A,2.78,24.0,x,58.19
B,6.16,27.7,x,66.9
A,6.75,26.1,y,64.79
C,6.48,23.2,y,71.1
A,1.87,25.0,x,52.02
C,6.95,27.3,x,71.58
B,6.69,16.7,y,76.97
B,8.41,24.6,x,90.63
B,8.23,26.6,x,87.53
B,3.94,27.0,y,68.43
B,7.5,30.1,x,84.84
B,8.81,28.4,x,81.07
C,9.04,25.9,x,77.58
C,2.45,25.9,x,61.48
C,1.24,27.4,x,49.0
C,6.86,23.4,x,70.84
B,2.93,24.9,x,60.09
B,6.07,27.7,x,75.89
C,9.5,30.9,y,86.93
B,4.41,24.5,y,67.1
A,3.27,24.9,x,61.37
C,5.11,25.6,x,62.76
A,6.92,29.0,x,67.55
C,1.91,24.9,y,51.17
B,4.43,29.4,x,76.0
A,2.2,22.1,y,66.49
A,6.96,24.4,x,74.2
B,8.47,24.4,x,80.24
A,4.39,27.4,x,66.87
A,4.35,28.1,x,62.58
B,5.86,20.5,y,77.96
C,2.94,22.3,y,60.57
B,3.23,26.0,x,67.45
C,3.97,23.0,y,65.13
C,5.12,20.4,y,64.07
C,1.73,28.1,x,53.92
B,7.77,26.5,x,73.98
B,6.21,,y,74.1
B,3.7,23.6,x,62.15
A,1.7,28.1,y,54.86
B,7.87,24.3,y,77.35
B,2.18,28.3,x,63.38
A,2.2,22.3,y,58.85
C,2.18,22.4,x,51.3
A,1.73,25.6,x,52.28
A,9.16,22.9,x,75.54
A,3.42,27.0,y,63.93
C,3.76,25.8,x,68.86
C,8.5,22.2,y,80.61
C,6.58,25.2,x,69.66
A,2.68,23.9,y,64.44
C,4.91,27.7,y,59.66
B,8.96,23.1,x,90.67
B,4.38,23.7,y,67.39
A,7.4,28.6,y,62.56
B,1.87,31.7,x,72.59
C,7.55,31.0,x,80.47
B,7.99,25.2,x,77.44
A,8.43,25.7,x,77.65
B,7.07,29.6,x,77.77
A,4.34,24.6,x,64.3
C,1.58,22.1,x,49.12
C,5.67,25.4,y,65.42
A,7.82,26.4,y,76.9
B,2.72,22.5,y,65.59
C,3.4,20.1,x,65.68
C,5.83,20.7,x,68.98
C,7.73,27.0,x,84.13
B,9.07,22.7,x,82.16
A,2.13,24.6,y,57.85
C,2.66,25.6,x,50.85
B,8.2,26.9,y,77.23
A,6.8,24.0,y,77.07
A,7.49,26.5,x,70.2
B,9.97,22.3,y,90.03
C,9.45,23.9,x,79.99
B,8.59,21.9,y,79.31
B,7.99,28.4,x,80.18
C,4.56,24.9,x,62.54
C,6.77,22.8,y,69.71
B,2.66,23.9,x,67.53
B,7.84,24.3,x,83.7
B,7.82,27.1,x,78.71
A,7.49,20.2,x,70.34
A,5.0,,x,67.13
B,4.4,23.9,y,69.68
B,4.78,32.6,y,75.41
B,1.3,27.9,x,70.78
A,8.6,24.7,x,80.89
A,5.88,27.1,y,68.68
A,4.49,31.2,x,63.68
B,5.93,24.3,y,71.55
C,7.49,23.9,x,70.34
B,4.43,28.6,y,66.16
B,8.48,26.5,x,81.55
B,9.28,27.0,y,83.99
C,4.49,23.5,y,67.34
B,2.24,30.8,y,61.57
B,7.84,,x,80.3
B,9.94,26.7,y,82.93
B,2.33,,x,70.03
B,7.41,18.9,x,81.74
B,8.43,26.9,x,90.13
B,9.29,24.4,x,88.92
C,2.11,26.3,y,62.71
C,1.83,27.0,y,54.86
A,9.89,24.0,x,84.52
B,2.05,19.9,x,73.38
B,2.59,26.1,x,59.39
B,6.17,22.8,y,80.45
A,5.02,24.0,x,72.86
A,7.75,23.2,x,76.48
B,2.72,24.0,y,67.76
C,9.23,,y,84.65
A,2.95,28.7,x,56.76
B,7.92,,x,83.01
C,1.61,28.3,x,51.6
C,5.26,30.9,y,64.07
A,1.29,25.1,x,51.6
A,3.82,19.6,x,61.64
C,3.81,22.3,x,62.79
A,7.48,21.4,x,75.79
A,5.1,23.5,x,60.52
B,1.51,25.2,x,68.94
C,9.96,19.0,y,86.61
A,9.0,26.0,x,81.77
B,9.25,20.5,x,84.13
B,3.22,25.9,y,65.94
A,4.55,24.7,y,66.8
C,3.04,24.1,y,61.41
C,2.12,24.8,x,49.9
B,1.3,23.4,y,63.2
C,5.53,23.2,x,79.65
B,2.11,20.0,y,55.18
C,2.59,24.9,x,62.37
C,8.74,30.5,x,79.48
B,5.36,30.9,y,72.69
A,2.65,29.0,x,64.11
A,7.03,27.1,y,67.64
B,3.39,23.0,y,67.52
A,5.74,29.3,x,74.38
C,3.55,24.8,x,60.55
C,5.65,24.8,y,66.36
A,6.66,24.1,x,71.78
B,5.83,25.3,y,72.83
A,4.56,23.7,y,70.95
A,8.12,24.7,x,72.26
B,8.86,21.7,x,87.94
C,2.61,23.9,y,53.21
C,2.23,31.8,x,59.89
B,2.02,24.8,x,62.03
B,9.82,24.3,x,76.8
B,9.47,26.6,x,86.28
A,3.08,27.1,x,55.47
B,9.73,21.7,y,85.31
C,2.87,24.4,y,65.51
B,5.56,27.8,y,69.2
A,5.48,25.8,x,63.18
A,9.23,25.4,x,85.46
C,1.36,29.7,x,54.83
A,3.84,23.0,y,68.63
C,6.4,25.2,x,71.81
C,1.6,23.4,x,51.49
B,3.13,29.5,y,65.74
B,5.19,19.1,x,77.66
C,8.93,23.0,x,82.45
B,7.85,23.4,x,81.12
B,8.46,27.0,x,83.27
A,7.85,26.8,y,74.66
B,7.37,29.2,x,77.21
C,8.65,20.3,x,85.62
A,7.13,27.3,x,72.85
A,7.62,24.1,y,69.73
C,3.71,23.0,x,59.91
B,2.51,26.6,y,67.02
C,7.81,22.2,y,77.63
A,2.49,18.8,y,57.4
C,9.28,23.9,x,76.95
A,6.37,20.5,x,70.48
B,3.96,23.1,x,61.79
C,9.43,26.1,y,74.82
A,2.4,,y,60.97
B,5.63,29.8,x,72.04
C,1.82,24.4,y,57.37
B,9.69,20.4,y,92.02
A,6.18,22.7,y,72.45
B,8.23,22.2,y,82.42
B,3.54,21.3,y,76.08
C,8.22,26.3,y,79.05
C,7.33,23.1,x,72.0
B,6.79,19.1,x,80.74
A,9.56,27.1,y,82.27
B,4.9,24.7,x,68.16
A,4.74,26.1,x,65.47
C,7.23,25.3,y,72.46
C,8.52,26.9,x,69.18
B,4.02,25.1,x,68.15
C,7.03,28.7,y,71.33
B,2.88,26.3,x,63.41
B,5.97,26.2,y,68.34
C,7.92,26.2,y,73.89
C,1.59,20.6,x,54.92
C,7.55,24.5,x,74.58
C,1.14,24.2,x,48.98
A,9.63,25.6,y,83.42
B,5.22,20.9,x,67.71
C,4.68,29.9,x,64.06
A,7.48,25.3,y,79.3
A,5.71,,x,65.42
B,7.58,,y,78.16
C,1.76,24.2,y,60.05
C,6.07,24.7,x,67.85
C,6.02,22.8,x,68.04
B,9.39,25.3,x,86.96
A,1.36,23.1,x,58.67
C,5.08,26.7,x,57.2
B,6.68,22.8,y,73.97
C,5.96,24.9,y,64.93
C,1.67,27.9,y,50.89
C,6.34,32.7,x,66.78
A,3.0,22.0,x,56.15
C,2.76,23.6,y,60.07
B,8.91,22.5,x,80.86
B,2.78,27.4,x,65.4
C,5.09,21.6,x,67.93
C,7.75,23.5,y,71.81
B,7.37,24.9,x,80.12
A,5.98,22.1,x,75.85
C,8.26,22.1,x,77.75
A,5.19,23.6,y,64.0
A,6.58,18.7,y,70.79
A,8.37,20.7,y,73.03
A,7.1,23.8,x,73.83
C,6.78,25.4,x,75.23
B,4.66,24.4,y,67.56
A,6.02,19.7,y,68.41
A,4.56,23.6,x,69.14
B,7.7,27.4,y,78.61
B,4.42,26.7,x,70.91
A,5.2,24.8,x,62.46
C,7.8,22.3,x,71.61
C,5.53,26.9,y,65.6
B,4.04,23.3,y,77.63
C,8.44,21.5,y,75.37
B,4.43,22.6,x,68.06
A,8.6,29.3,y,75.27
A,8.07,25.7,x,75.16
A,5.03,28.5,x,68.72
C,7.42,23.6,x,74.5
A,1.31,27.8,x,62.42
B,4.51,23.2,x,71.29
A,8.74,24.5,x,83.76
C,6.22,32.5,x,71.01
A,6.02,27.3,x,71.69
B,6.98,23.5,x,72.56
C,7.1,24.7,y,72.21
B,6.25,26.0,y,75.72
C,4.79,28.6,x,64.36
C,2.65,23.5,y,49.87
C,3.63,19.8,y,65.14
C,3.64,24.2,x,60.1
B,4.88,25.0,x,69.86
B,9.99,25.3,x,86.95
C,4.17,29.0,y,62.43
B,5.03,26.0,y,73.72
C,4.34,27.4,x,58.8
C,6.23,21.7,y,66.21
B,9.53,27.6,y,87.66
B,9.0,31.3,y,85.38
C,4.39,27.3,y,62.54
C,3.4,25.8,y,58.58
A,8.96,25.5,x,75.33
A,5.44,30.4,y,67.17
A,7.17,22.2,x,77.67
B,1.66,24.7,x,57.08
A,8.8,26.4,y,84.25
B,3.82,27.2,x,71.6
B,5.45,23.7,x,71.63
C,2.78,25.9,y,62.03
C,4.78,24.2,y,59.43
A,8.45,25.4,y,70.11
C,8.45,24.6,x,71.88
C,5.26,21.6,y,65.19
C,7.91,24.9,x,74.01
C,5.12,27.6,y,64.32
A,4.36,22.1,x,64.35
C,5.91,24.3,y,60.37
A,2.81,27.0,x,60.97
B,3.85,21.8,x,62.64
C,7.36,25.5,y,70.91
C,7.93,21.8,x,73.72
A,1.51,28.4,y,50.21
A,7.6,31.9,x,68.84
B,8.36,31.1,x,78.73
B,5.01,24.3,x,71.98
C,1.56,27.2,y,57.35
A,7.15,25.4,y,75.14
A,3.22,25.3,y,56.33
A,6.79,29.6,x,68.56
B,4.39,21.0,y,66.37
A,6.73,28.2,x,73.34
A,3.32,24.9,y,52.47
